,floor,floors_count,rooms_count,total_meters,price,lat,lon,author_type_homeowner,author_type_official_representative,author_type_real_estate_agent,author_type_realtor,author_type_representative_developer,district_quality,quality_price
216,0.0,22.0,4.0,121.8,55000000,55.7513887,37.7053792,True,False,False,False,False,439480.5019845118,53528725.14171354
217,0.0,22.0,2.0,67.2,26000000,55.7513887,37.7053792,False,False,True,False,False,439480.5019845118,29533089.733359195
218,0.0,26.0,2.0,58.0,27000000,55.75081925,37.706651667974654,False,False,False,True,False,425667.83662584535,24688734.52429903
219,0.0,24.0,2.0,72.1,30222250,55.68363625,37.70052543619818,False,False,False,False,False,483052.89864370687,34828113.99221126
220,0.0,20.0,2.0,63.0,28999999,55.706447,37.65209268108206,False,False,True,False,False,434465.5913513041,27371332.255132157
221,0.0,6.0,1.0,42.4,24066777,55.6657173,37.6596192,False,False,False,False,False,446210.3299349393,18919317.989241425
223,0.0,24.0,3.0,97.2,43991195,55.68363625,37.70052543619818,False,False,False,False,False,483052.89864370687,46952741.74816831
224,0.0,20.0,1.0,53.1,18000000,55.69270305,37.66375835,False,False,True,False,False,498213.70321935683,26455147.64094785
225,0.0,16.0,2.0,55.54,21793896,55.7048888,37.653208,False,False,False,False,False,440302.66076799826,24454409.779054623
226,0.0,4.0,4.0,30.0,13990000,55.7037516,37.6411557,False,False,False,True,False,463986.0989875763,13919582.96962729
227,0.0,20.0,2.0,42.44,17540350,55.706447,37.65209268108206,False,False,False,False,False,434465.5913513041,18438719.696949344
228,0.0,18.0,1.0,49.7,29999999,55.6988756,37.63861664273072,False,False,True,False,False,471895.1308754803,23453188.00451137
229,0.0,28.0,2.0,58.1,24480086,55.707253,37.643517,False,False,False,False,False,440801.79490739485,25610584.284119643
230,0.0,16.0,2.0,57.86,25700000,55.717886,37.6603019,False,False,False,False,False,445022.02409252664,25748974.31399359
231,0.0,10.0,1.0,36.0,15261250,55.7048888,37.653208,False,False,False,False,False,440302.66076799826,15850895.787647936
232,0.0,9.0,2.0,40.0,15900000,55.7165053,37.6635575,False,False,False,True,False,435267.4396961625,17410697.5878465
233,0.0,20.0,1.0,39.79,17688278,55.706447,37.65209268108206,False,False,False,False,False,434465.5913513041,17287385.87986839
